,City Name,Country Code,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
465,carnarvon,za,-30.97,22.13,23.97,64.0,0.0,2.77
466,ternate,id,0.8,127.4,80.31,100.0,64.0,1.25
467,katherine,au,-14.47,132.26,78.8,26.0,0.0,12.75
470,sheboygan,us,43.75,-87.71,61.68,72.0,1.0,9.17
471,ouadda,cf,8.07,22.4,67.26,96.0,92.0,3.11
472,anshun,cn,26.25,105.93,71.31,97.0,92.0,5.28
473,naze,jp,28.37,129.48,82.4,88.0,75.0,14.99
474,abalak,ne,15.46,6.28,73.92,87.0,68.0,10.54
477,mapiripan,co,2.89,-72.13,72.75,90.0,24.0,4.38
478,barra do garcas,br,-15.89,-52.26,62.94,76.0,0.0,2.48
479,kabo,cf,7.69,18.62,65.91,90.0,36.0,2.77
480,tazovskiy,ru,67.47,78.7,65.46,78.0,0.0,15.19
481,grand forks,ca,49.03,-118.46,75.2,57.0,75.0,4.7
482,angoche,mz,-16.23,39.91,76.44,100.0,88.0,17.87
483,carbondale,us,37.73,-89.22,68.38,88.0,90.0,4.7
484,nara,ml,15.17,-7.29,79.77,54.0,0.0,3.04
486,daura,ng,13.04,8.32,70.32,98.0,80.0,6.13
488,ballina,au,-28.87,153.57,66.99,100.0,76.0,12.44
489,lalibela,et,12.04,39.05,43.59,79.0,36.0,1.7
490,conakry,gn,9.52,-13.7,79.95,100.0,68.0,11.77
492,pak phanang,th,8.35,100.2,87.8,70.0,20.0,2.24
493,hammerfest,no,70.66,23.68,44.6,100.0,75.0,2.24
494,houma,us,29.6,-90.72,80.15,83.0,75.0,9.82
495,lamu,ke,-2.27,40.9,75.09,100.0,56.0,14.63
496,dzhebariki-khaya,ru,62.22,135.8,63.3,49.0,92.0,6.06
497,tashtyp,ru,52.8,89.89,72.57,49.0,12.0,3.33
498,novaya igirma,ru,57.14,103.93,67.44,58.0,92.0,5.5
500,oksfjord,no,70.24,22.35,46.29,87.0,75.0,4.7
501,humberto de campos,br,-2.6,-43.46,78.87,98.0,24.0,6.02
502,salinas,ec,0.49,-78.13,42.87,97.0,20.0,2.21
503,fortuna,us,40.6,-124.16,59.99,77.0,90.0,12.75
504,chengde,cn,40.97,117.93,82.02,52.0,80.0,6.85
505,juneau,us,58.3,-134.42,66.79,60.0,75.0,8.05
506,toyooka,jp,35.55,134.82,78.8,44.0,75.0,3.36
507,lukulu,zm,-14.38,23.24,57.0,59.0,8.0,9.26
508,huancavelica,pe,-12.79,-74.97,21.81,79.0,0.0,1.99
509,millau,fr,44.1,3.08,58.44,62.0,0.0,3.56
510,bijie,cn,27.3,105.3,68.52,100.0,92.0,3.27
511,mwene-ditu,cd,-7.01,23.45,59.97,80.0,12.0,2.82
512,usogorsk,ru,63.43,48.71,59.07,81.0,80.0,7.02
513,mananjary,mg,-19.16,46.8,36.39,92.0,8.0,4.27
514,richards bay,za,-28.77,32.06,57.36,95.0,0.0,4.34
515,binga,cd,0.52,29.32,58.8,95.0,20.0,3.0
516,khandyga,ru,62.65,135.58,63.3,49.0,92.0,6.06
517,shenjiamen,cn,29.96,122.3,73.56,100.0,100.0,9.6
518,valparai,in,10.33,76.96,78.8,88.0,90.0,3.36
519,okha,ru,53.59,142.95,44.85,100.0,92.0,14.29
520,cabedelo,br,-6.97,-34.84,73.4,88.0,20.0,5.82
521,nigran,es,42.14,-8.81,68.0,82.0,20.0,5.82
522,la primavera,co,5.49,-70.41,77.61,76.0,44.0,4.0
523,mayo,ca,63.59,-135.9,69.8,52.0,75.0,2.24
